"rfid","dames","sires"
"933000320047173","74196_2","74113_1"
"933000320046053","72797_2","72795_1"
"933000320047597","73690_2","73672_1"
"933000320046817","73727_2","73676_1"
"933000320046268","72668_2","72618_1"
"933000320045880","72526_2","72663_1"
"933000320046070","72782_4","72775_3"
"933000320046828","73672_2","73697_1"
"933000320045907","73312_1","73309_1"
"933000320045918","73312_1","73309_1"
"933000320046184","72945_1","72797_1"
"933000320046282","72595_5","72539_1"
"933000320046188","72778_4","72782_3"
"933000320046819","73732_2","73686_1"
"933000320046065","72525_2","72534_5"
"933000320046816","73744_2","73734_2"
"933000320047326","73770_2","73669_1"
"933000320045911","72779_2","72792_1"
"933000320045891","72801_2","72793_3"
"933000320045883","72809_2","72785_1"
"933000320047003","73691_2","73723_1"
"933000320046051","72525_2","72534_5"
"933000320046824","73744_2","73734_2"
"933000320045894","72623_2","72632_1"
"933000320046057","72632_2","72535_1"
"933000320046809","73744_2","73734_2"
"933000320045885","73360_1","73358_1"
"933000320047168","74196_2","74113_1"
"933000320046260","72618_2","72525_1"
"933000320045910","72866_1","72772_3"
"933000320046055","72525_2","72534_5"
"933000320046808","73744_2","73734_2"
"933000320047156","74196_2","74113_1"
"933000320045878","72526_2","72663_1"
"933000320046075","72632_2","72535_1"
"933000320046811","73727_2","73676_1"
"933000320046276","72595_5","72539_1"
"933000320046844","73672_2","73697_1"
"933000320047033","74156_2","74198_1"
"933000320046056","73352_2","73312_3"
"933000320045893","73325_2","73342_2"
"933000320045898","72801_2","72793_3"
"933000320046850","73687_2","73736_1"
"933000320047170","73671_2","73742_1"
"933000320046254","72668_2","72618_1"
"933000320046257","72802_2","72784_1"
"933000320046251","72785_2","72787_1"
"933000320046074","73352_2","73312_3"
"933000320046052","72541_5","72689_1"
"933000320047151","73671_2","73742_1"
"933000320046190","72945_1","72797_1"
"933000320046253","72541_5","72689_1"
"933000320046263","72626_6","72660_1"
"933000320045897","73325_2","73342_2"
"933000320046805","73666_2","73719_1"
"933000320046820","74117_2","74202_1"
"933000320046067","72539_2","72625_1"
"933000320046267","72667_2","72527_1"
"933000320046256","72663_2","72668_1"
"933000320046269","72668_2","72618_1"
"933000320046062","72797_2","72795_1"
"933000320046270","72626_6","72660_1"
"933000320046826","74236_2","74148_1"
"933000320046275","72785_2","72787_1"
"933000320045900","73352_2","73312_3"
"933000320046059","72539_2","72625_1"
"933000320046258","72626_6","72660_1"
"933000320045921","72779_2","72792_1"
"933000320047587","73690_2","73672_1"
"933000320046060","72539_2","72625_1"
"933000320047022","73691_2","73723_1"
"933000320045903","72777_2","72808_1"
"933000320045877","72809_2","72785_1"
"933000320047328","73706_2","73668_1"
"933000320046179","72945_1","72797_1"
"933000320047594","73674_2","73688_1"
"933000320046182","72778_4","72782_3"
"933000320045892","73327_1","73325_1"
"933000320046255","72802_2","72784_1"
